time_period,time_format,granularity,geocode,pact_t,pact_m,pact_f,pact_t_16a24,pact_t_25a34,pact_t_35a44,pact_t_45a54,pact_t_55mas,pact_m_16a24,pact_m_25a34,pact_m_35a44,pact_m_45a54,pact_m_55mas,pact_f_16a24,pact_f_25a34,pact_f_35a44,pact_f_45a54,pact_f_55mas,pocu_t,pocu_m,pocu_f,pocu_t_16a24,pocu_t_25a34,pocu_t_35a44,pocu_t_45a54,pocu_t_55mas,pocu_m_16a24,pocu_m_25a34,pocu_m_35a44,pocu_m_45a54,pocu_m_55mas,pocu_f_16a24,pocu_f_25a34,pocu_f_35a44,pocu_f_45a54,pocu_f_55mas,pocu_a401,pocu_a402,pocu_a403,pocu_a404,psal_t,psal_m,psal_f,psal_t_16a24,psal_t_25a34,psal_t_35a44,psal_t_45a54,psal_t_55mas,psal_m_16a24,psal_m_25a34,psal_m_35a44,psal_m_45a54,psal_m_55mas,psal_f_16a24,psal_f_25a34,psal_f_35a44,psal_f_45a54,psal_f_55mas,psal_pri_t,psal_pri_m,psal_pri_f,psal_pub_t,psal_pub_m,psal_pub_f,psel_t,psel_m,psel_f,ppar_t,ppar_m,ppar_f,ppar_t_16a24,ppar_t_25a34,ppar_t_35a44,ppar_t_45a54,ppar_t_55mas,ppar_ld_t,ppar_ld_m,ppar_ld_f,tpar_t,tpar_m,tpar_f,tsal_t,tsal_m,tsal_f,label
2024,P1Y,MUNICIPALITIES,38017,29330,14796,14535,2441,5707,7180,8491,5512,1309,2851,3445,4273,2920,1132,2857,3736,4218,2592,25910,13351,12560,2203,5236,6581,7610,4281,1181,2649,3213,3907,2402,1022,2587,3369,3703,1879,598,1005,1710,22538,22478,11320,11158,2123,4825,5679,6433,3419,1126,2416,2733,3213,1833,998,2409,2946,3220,1587,20762,10641,10120,1706,674,1032,3432,2031,1402,3420,1445,1975,238,471,599,881,1231,1359,494,865,11.66,9.77,13.59,86.75,84.79,88.84,Granadilla de Abona
2024,P1Y,MUNICIPALITIES,38018,2605,1352,1254,150,460,607,804,584,81,249,305,410,307,70,211,303,394,277,2171,1191,980,114,407,520,690,440,63,234,275,375,246,52,174,245,315,194,111,82,254,1713,1826,981,845,107,363,445,579,332,58,207,236,301,179,49,156,210,277,153,1467,868,599,358,112,246,345,211,134,435,161,274,36,53,88,115,144,207,75,132,16.69,11.88,21.87,84.12,82.33,86.29,La Guancha
2024,P1Y,MUNICIPALITIES,38019,10972,5640,5332,906,2152,2702,2966,2246,475,1104,1329,1524,1209,431,1048,1374,1442,1037,9875,5161,4715,826,2008,2487,2718,1838,433,1048,1234,1418,1029,393,960,1253,1300,809,735,267,526,8329,8514,4353,4161,799,1884,2141,2301,1390,415,980,1049,1168,741,384,904,1092,1133,649,7960,4137,3823,548,213,335,1362,808,553,1096,479,617,81,145,215,248,408,452,189,263,9.99,8.5,11.57,86.21,84.34,88.26,Guía de Isora
2024,P1Y,MUNICIPALITIES,38020,11071,5600,5471,657,1913,2832,3326,2342,340,946,1353,1748,1213,317,968,1479,1578,1129,9389,4862,4528,528,1681,2510,2893,1778,280,847,1233,1565,937,248,835,1276,1328,841,391,628,651,7692,8247,4196,4051,511,1552,2206,2518,1459,272,784,1062,1332,747,239,769,1145,1187,712,6587,3659,2928,1658,537,1122,1142,665,477,1682,739,943,129,232,323,433,565,756,324,432,15.19,13.19,17.23,87.83,86.32,89.46,Güímar
2024,P1Y,MUNICIPALITIES,38021,883,496,387,53,165,166,231,269,24,101,87,132,152,29,64,79,99,116,727,411,316,40,144,140,190,213,18,88,74,109,122,22,55,66,81,92,53,22,101,549,608,334,274,37,130,127,157,158,15,79,62,87,91,21,51,65,70,68,445,275,170,163,59,104,119,77,42,156,85,71,12,22,26,41,55,49,25,24,17.7,17.19,18.35,83.69,81.38,86.71,Hermigua
2024,P1Y,MUNICIPALITIES,38022,11267,5867,5401,733,2100,2698,3097,2641,401,1088,1385,1568,1426,332,1012,1313,1528,1215,9173,4972,4202,584,1827,2327,2580,1856,324,982,1251,1368,1048,260,845,1077,1212,809,455,481,999,7175,7606,4045,3561,559,1653,1899,2109,1386,307,885,1001,1105,747,252,768,899,1003,639,6615,3719,2896,989,325,664,1568,927,641,2094,895,1199,149,272,371,517,785,1049,424,625,18.58,15.26,22.2,82.91,81.36,84.74,Icod de los Vinos
2024,P1Y,MUNICIPALITIES,38023,81816,40584,41233,5199,15646,18865,22809,19298,2688,7950,9125,11165,9656,2511,7696,9741,11644,9641,68372,34806,33566,4025,13654,16512,19447,14735,2101,7094,8203,9813,7596,1924,6561,8309,9634,7139,1204,3692,4024,59212,59968,29665,30303,3851,12598,14539,16926,12054,1993,6470,7073,8260,5868,1857,6127,7466,8666,6186,46369,24844,21525,13581,4811,8771,8405,5141,3264,13444,5778,7666,1174,1992,2354,3362,4562,6322,2574,3748,16.43,14.24,18.59,87.71,85.23,90.28,San Cristóbal de La Laguna
2024,P1Y,MUNICIPALITIES,38024,9816,4886,4931,604,1818,2197,2817,2381,319,891,1050,1415,1212,285,927,1148,1403,1169,8145,4216,3929,470,1594,1920,2373,1788,246,806,945,1229,991,225,788,975,1144,798,598,297,748,6487,6548,3150,3398,442,1407,1565,1879,1256,226,689,729,886,621,216,718,837,994,634,4986,2577,2409,1560,570,990,1597,1066,531,1671,670,1001,133,224,278,445,592,698,257,441,17.03,13.71,20.31,80.39,74.71,86.49,Los Llanos de Aridane
2024,P1Y,MUNICIPALITIES,38025,4745,2460,2285,271,809,1208,1466,991,154,422,591,755,538,116,388,618,711,453,3945,2103,1842,208,699,1063,1250,726,117,370,533,660,424,92,329,530,590,301,78,195,456,3206,3409,1762,1647,201,650,917,1071,570,111,343,444,547,317,91,307,473,524,253,2701,1483,1218,708,279,429,537,342,195,800,357,443,62,111,146,216,266,368,139,229,16.86,14.5,19.4,86.4,83.76,89.41,La Matanza de Acentejo
2024,P1Y,MUNICIPALITIES,38026,21221,10874,10347,1443,3832,4696,6240,5011,787,2010,2281,3160,2638,656,1822,2415,3081,2374,17707,9507,8200,1170,3393,4132,5312,3699,646,1829,2100,2828,2104,524,1564,2032,2485,1596,470,878,1671,14604,15034,7834,7200,1105,3074,3567,4443,2845,605,1641,1759,2284,1546,500,1433,1809,2159,1300,12955,7049,5906,2071,779,1292,2673,1673,1000,3514,1367,2147,273,438,564,928,1312,1762,651,1111,16.56,12.57,20.75,84.91,82.4,87.81,La Orotava
2024,P1Y,MUNICIPALITIES,38027,3813,1965,1848,227,694,905,1045,943,115,352,453,529,516,112,342,452,516,427,3079,1653,1426,170,579,774,860,696,91,305,398,459,400,80,274,376,401,296,248,125,313,2388,2380,1200,1180,158,509,596,639,478,83,260,296,311,251,75,250,300,328,227,1792,990,803,587,210,377,700,453,247,734,312,422,56,115,131,185,247,272,106,166,19.24,15.89,22.81,77.28,72.61,82.7,El Paso
2024,P1Y,MUNICIPALITIES,38028,13454,6793,6661,751,2385,3146,3744,3429,387,1194,1538,1924,1751,364,1192,1608,1820,1677,11055,5799,5257,584,2113,2740,3116,2503,302,1073,1392,1658,1375,283,1040,1348,1459,1128,128,342,517,10020,8804,4496,4308,542,1864,2241,2432,1727,273,935,1114,1250,926,269,929,1127,1182,801,7539,3946,3592,1263,549,714,2251,1302,949,2399,995,1404,166,273,406,628,926,1191,462,729,17.83,14.64,21.08,79.64,77.54,81.95,Puerto de la Cruz
2024,P1Y,MUNICIPALITIES,38029,981,495,486,70,187,221,259,244,37,88,117,125,129,33,100,105,135,115,803,426,378,55,159,186,215,190,28,80,103,107,109,27,79,83,108,81,92,45,124,540,589,286,303,52,138,136,150,114,25,66,69,68,59,27,72,67,82,55,388,216,173,201,70,131,215,140,74,178,69,109,15,29,36,45,54,53,18,35,18.1,13.95,22.33,73.3,67.06,80.33,Puntagorda
